iter	Passed	Remaining
0	1	124
1	2	105
2	3	97
3	3	89
4	4	90
5	5	85
6	6	82
7	6	78
8	7	75
9	8	72
10	8	70
11	9	69
12	10	68
13	10	66
14	11	64
15	12	63
16	12	62
17	13	60
18	14	59
19	14	58
20	15	57
21	16	57
22	16	56
23	17	55
24	18	55
25	19	55
26	20	54
27	21	54
28	21	53
29	22	52
30	23	51
31	23	50
32	24	49
33	25	49
34	26	48
35	26	47
36	27	46
37	28	46
38	28	45
39	29	44
40	30	44
41	31	43
42	32	42
43	33	42
44	34	41
45	34	40
46	35	40
47	36	39
48	37	38
49	37	37
50	38	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	44	31
58	44	31
59	45	30
60	46	29
61	47	29
62	48	28
63	49	27
64	50	27
65	51	26
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	56	20
73	57	20
74	57	19
75	58	18
76	59	17
77	60	16
78	61	16
79	61	15
80	62	14
81	64	14
82	64	13
83	65	12
84	66	11
85	67	10
86	67	10
87	68	9
88	69	8
89	70	7
90	70	6
91	71	6
92	72	5
93	72	4
94	73	3
95	74	3
96	75	2
97	76	1
98	77	0
99	77	0
